,M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元)
公司,2016/9/30,2016/6/30,2016/3/31,2015/12/31,2015/9/30,2015/6/30,2015/3/31,2014/12/31,2014/9/30,2014/6/30,2014/3/31,2013/12/31,2013/9/30,2013/6/28,2013/3/29,2012/12/28,2012/9/28,2012/6/29,2012/3/30
3515 華擎,1.31,0.8,0.67,2.09,1.59,1.05,0.77,4.4,3.4,2.09,2.21,9.23,7.37,5.01,2.51,9,6.89,4.58,2.54
3516 亞帝歐,-0.72,-0.44,-0.18,-0.67,0.15,-0.8,-0.27,-2.78,-1.54,-1.06,-0.49,-1.57,-1.47,-1.1,-0.39,-3.91,-1.25,-0.84,-0.54
3518 柏騰,-3.37,-2.43,-0.67,-1.98,-0.31,0.21,0.17,-2.92,-2.53,-1.74,-0.84,1.12,1.12,1.48,-0.11,-2.15,-1.27,-0.77,-0.46
3519 綠能,-0.85,1.32,0.94,-3.71,-3.69,-2.31,-1.01,-5.54,-2.74,-1.06,-0.39,-7.26,-5.25,-3.98,-2.08,-11.65,-8.43,-6.05,-3.13
3520 振維,-0.59,-0.41,-0.21,-0.79,-0.63,-0.77,-0.4,-1.8,-1.75,-1.3,-0.58,-2.54,-1.91,-1.38,-0.49,-3.07,-2,-1.29,-0.58
3521 鴻翊,0.01,0.08,0.06,0.52,0.18,-0.17,-0.16,-0.52,-0.25,-0.19,-0.1,-2.24,-1.01,-0.43,-0.2,-0.77,-0.68,-0.3,-0.09
3522 宏森,-0.27,-0.15,-0.16,-1.18,-0.38,-0.51,-0.14,0.97,0.97,0.54,0.46,0.73,0.84,0.65,0.26,0.96,0.89,0.48,0.01
3523 迎輝,-3.09,-1.99,-1.04,-4.03,-1.89,-1.32,-0.61,-6.61,-3.9,-2.61,-0.98,-3.83,-2.9,-1.76,-0.81,-3.94,-2.15,-1.23,-0.6
3526 凡甲,3.87,1.9,0.98,1.42,0.47,-0.16,0.2,1.29,0.76,-0.15,-0.36,0.07,0.34,0.46,0.44,2.11,2.28,1.47,0.48
3527 聚積,5.01,3.21,1.39,3.51,2.81,1.22,0.11,5.53,3.7,2.41,1.05,4.86,3.91,1.98,0.59,9.02,7.96,5.41,2.14
3528 安馳,2.13,1.53,0.86,3.41,2.73,1.83,1.02,3.19,2.61,1.72,0.73,2.79,2.1,1.25,0.54,2.85,2.36,1.42,0.56
3529 力旺,5.31,3.59,2.19,6.32,4.63,3.23,1.51,5.52,4.19,2.55,1.46,3.87,2.66,1.71,0.7,2.17,1.42,0.97,0.53
3531 先益,1,0.42,0.16,0.3,0.09,-0.05,-0.01,0.37,0.48,0.16,-0.06,2.17,1.5,0.97,0.48,2.14,1.72,1.06,0.52
3532 台勝科,0.66,0.49,0.17,1.65,1.47,0.94,0.51,1.4,0.94,0.48,0.22,0.4,0.28,0.16,0.01,0.11,0.2,0.01,-0.19
3533 嘉澤,3.94,1.64,0.87,8.52,6.14,2.83,1.99,11.53,8.3,5.02,3.09,7.76,4.32,3.34,1.98,10.14,8.52,4.86,1.8
3535 晶彩科,-1.03,-0.46,-0.25,0.67,0.11,0.02,0.1,-0.46,0.12,0.17,0.05,-1.48,-1.37,-0.98,-0.49,-2.58,-1.4,-0.73,-0.27
3536 誠創,-0.33,-0.25,-0.1,-0.8,-0.65,-0.61,-0.41,-5.73,-2.74,-2.7,-0.25,-0.81,-0.55,-0.35,-0.14,-1.93,-1.57,-1.3,-0.6
3537 堡達,0.61,0.26,0.11,1.41,1.28,0.45,0.25,1.52,1.03,0.59,0.46,2.33,2.1,1.82,0.73,2.23,1.19,0.63,0.17
3540 曜越,1.05,0.67,0.45,0.41,0.01,-0.24,-0.29,0.55,0.78,0.83,0.5,-0.35,0.23,0.97,0.67,0.78,0.66,0.57,0.38
3541 西柏,3.9,2.5,0.83,4.27,3.01,1.9,1.36,7.6,5.47,2.96,1.4,2.78,1.75,1.14,0.5,2.68,1.67,1.04,0.64
3545 敦泰,0.22,-0.1,-0.34,0.67,0.54,0.02,-0.13,1.04,1.42,4.39,1.06,2.62,2.97,2.22,0.59,0.89,0.44,0.25,0.08
3546 宇峻,2.22,1.07,0.57,-0.83,-1.51,-1.78,-0.42,0.18,-0.47,-0.31,0.02,0.95,1.07,0.96,0.81,3.09,2.54,2.12,1.51
3548 兆利,6.38,3.83,1.15,3.92,2.63,0.36,0.35,3.38,2.8,2.27,1.27,2.89,1.6,0.55,0.61,2.42,2.09,1.34,0.23
3550 聯穎,0.75,0.52,-0.03,0.96,0.79,0.31,0.08,1.21,1.08,0.58,0.24,1.07,0.8,0.54,0.17,0.3,0.36,0.08,0.21
3551 世禾,1.38,1.08,0.41,3.16,2.73,1.63,0.59,4.91,3.93,2.39,1.04,4.6,3.68,2.31,1.12,3.73,2.77,1.84,1.05
3552 同致,11,8.2,5.02,9.39,6.07,3.42,1.42,5.76,4.02,2.31,1.35,5.17,3.63,2.18,0.9,4.22,3.86,2.11,1.08
3553 力積,-1.39,-0.77,-0.64,0.26,0.49,0.57,0.56,1.44,0.41,-0.13,0.07,1.03,1.02,1.02,0.52,0.2,0.07,-0.05,-0.19
3555 重鳥鵬,0.12,0.17,0.06,-13.32,-9.57,-2.17,-1.11,-7.5,-5.65,-3.86,-1.26,-8.62,-6.76,-4.9,-2.99,-14.94,-9.17,-4.21,-1.25
3556 禾瑞亞,2.67,1.84,0.98,4.1,3.14,2.33,0.9,4.49,3.56,2.48,1.31,8.62,7.06,4.7,2.2,2.33,1.56,0.83,0.34
3557 嘉威,-0.88,-0.43,-0.23,-0.59,-0.41,-0.31,-0.12,-3.54,-1.02,-0.96,-0.52,-2.59,-1.22,-0.3,0.06,-0.73,-0.74,-0.72,-0.64
3558 神準,8.75,6.43,3.21,16.6,13,7.86,3.85,12.63,9.16,5.91,2.56,10.03,7.28,4.35,1.79,7.16,,3.88,
3559 全智科,1.38,0.91,0.32,2.21,1.65,1,0.42,1.74,1.06,0.44,0.14,1.05,0.98,0.63,0.22,1.29,1.03,0.77,0.37
3561 昇陽光電,-0.1,0.9,0.69,-0.91,-1.17,-1.23,-0.41,0.42,0.42,0.68,0.46,-1.18,-1.16,-1.38,-0.95,-6.35,-3.91,-2.35,-0.8
3562 頂晶科,-4.55,-0.77,-0.29,0.13,0.19,0.3,0.06,0.15,0.19,0.25,0.23,-1.77,-1.84,-1.38,-0.71,-4.42,-3.5,-2.76,-0.65
3563 牧德,3.11,1.59,0.65,3.72,3.24,1.73,0.8,4.03,3.32,1.94,0.93,5.37,5.08,3.37,1.5,4.2,3.5,2.85,2.04
3564 其陽,2.69,2.01,0.6,6.16,5.01,3.11,0.61,3.65,1.05,0.3,0.02,3.13,3.09,2.51,1.37,4.02,,0.8,
3567 逸昌,1.56,0.8,0.38,1.23,0.82,0.44,0.21,1.02,0.85,0.4,0.09,0.53,0.32,0.02,-0.22,-0.45,0.16,0.04,-0.1
3570 大塚,3.47,1.82,0.8,5.01,3.37,2.26,1.17,5.49,3.82,2.15,0.8,4.62,3.28,2.12,0.89,3.55,2.45,1.37,0.44
3576 新日光,-2.83,-0.9,0.13,-1.71,-1.87,-1.45,-0.55,0.28,0.78,1.02,0.52,0.86,0.38,-0.54,-1.29,-9.69,-6.4,-5.07,-4.23
3577 泓格,2.53,0.85,0.23,1.76,1.15,0.62,0.2,2.39,1.87,1.24,0.44,2.01,1.67,0.99,0.42,1.9,1.27,0.73,0.18
3579 尚志,-3.94,0.71,0.66,-8.31,-4.2,-2.59,-0.92,-4.91,-2.17,-0.82,-0.4,-5.57,-4.12,-2.88,-1.63,-8.54,-5.82,-3.91,-1.94
3580 友威科,-0.76,-0.91,-0.43,-1.7,-1.5,-1.33,-0.51,-2.29,-2.61,-2.34,-0.84,-5.21,-2.95,-2.17,-1.28,-5.49,-2.97,-1.99,-0.94
3581 博磊,0.54,0.48,0.1,0.91,0.42,0.2,0.18,2.04,1.34,1.16,0.06,0.99,0.77,0.45,1.26,0.7,,0.67,
3583 辛耘,2.7,2.01,1.02,1.06,0.17,0.12,0.13,3.04,1.43,0.47,0.07,3.13,2.05,1.08,0.45,2.38,1.35,0.16,
3587 閎康,3.94,2.44,1,3.85,2.68,1.36,0.56,4.54,3.4,2.06,1.03,5.12,3.86,2.39,0.98,4.49,3.25,1.65,0.59
3588 通嘉,1.61,0.94,0.53,2.15,1.71,0.94,0.46,2.3,1.86,1.14,0.6,2.51,1.94,1.37,0.65,2.76,2.34,1.55,0.6
3591 艾笛森,-0.53,-0.69,-0.26,-1.07,-0.07,-0.08,0.03,-0.34,-0.06,-0.07,0.06,-1.42,0.1,-0.13,-0.35,0.26,0.63,0.64,0.38
3593 力銘,-0.59,-0.55,-0.26,-1.87,-1.15,-0.98,-0.32,-1.83,-1.03,-1.05,-0.27,-4.12,-3.53,-1.95,-0.7,-2.06,-1.1,-0.58,-0.21
3594 磐儀,-0.36,0.1,0.01,0.81,0.15,0.01,-0.3,2.02,1.13,0.83,0.3,1.6,1.18,0.94,0.14,1.01,0.43,0.47,-0.14
3596 智易,5.93,4.14,1.28,3.06,1.87,0.44,0.16,4.29,2.93,1.94,1.06,4.15,3.33,2.62,1.06,2.52,1.31,0.86,0.54
3605 宏致,0.77,0.15,0.03,1.22,0.84,0.08,0.22,3.65,3.22,1.99,0.51,1.56,0.79,0.29,-0.07,1.96,1.79,1.13,0.33
3607 谷崧,-2.41,-1.95,-1.2,5.42,4.37,2.98,1.86,6.05,2.25,0.98,0.02,3.57,1.72,1.48,1.1,3.16,0.53,-0.52,-0.72
3609 東林,-0.12,-0.08,-0.41,-2.95,-0.5,-0.42,-0.18,-0.66,-0.27,-0.21,-0.13,0.04,-0.26,-0.27,-0.28,-1.93,-0.98,-0.66,-0.35
3611 鼎翰,9.91,6.8,2.65,15.14,11.74,7.13,2.94,14.67,10.45,6.86,3.29,13.01,10.21,6.82,3.37,8.88,6.59,4.36,1.55
3615 安可,0.28,-0.23,-0.26,0.38,0.46,0.01,-0.05,-0.9,-0.68,-0.72,-0.58,0.09,0.86,1.03,0.77,3.1,1.22,0.17,0.13
3617 碩天,6.23,4.14,1.36,7.45,5.62,1.95,0.4,5.64,3.65,1.63,0.94,5.36,3.76,2.17,1.33,5,3.82,2.34,0.96
3622 洋華,-0.87,-0.58,-0.37,-17.36,-5.02,-3.7,-1.54,-11.92,-5.98,-2.84,-1.4,-10.76,-2.11,-0.15,1.17,-2.35,-3.5,-3.72,-1.13
3623 富晶通,3.75,2.62,1.37,3.41,2.44,1.58,0.88,3.95,3.08,2.02,1.02,1.68,1.09,0.67,0.32,0.23,0.09,-0.04,-0.16
3624 光頡,0.52,0.52,0.15,1.28,1.2,0.5,0.2,1.32,0.82,0.25,0.16,2,1.52,1.15,0.62,1.86,1.51,0.91,0.47
3625 西勝,1.12,0.36,0.03,0.05,-0.13,-0.2,-0.16,-2.4,-2.45,-2.6,-0.56,-2.18,-1.56,-1.07,-0.47,0.03,0.46,-0.61,-0.34
3628 盈正,0.88,0.72,-0.33,3.92,2.96,2.3,1.17,4.71,3.4,1.85,0.96,3.2,2.11,1.43,0.5,2.48,1.69,1.24,0.83
3629 群富通,-4.25,-2.57,-0.9,-7.55,-6.1,-2.42,-1.09,-5.91,-3.07,-1.38,-0.41,-2.05,-1.41,-0.16,-0.74,-5.51,-4.53,-2.8,-0.52
3630 新鉅科,-4.68,-3.19,-1.68,-7.04,-5.59,-4.07,-2.15,-4.06,-2.38,-0.8,0.22,1.82,0.14,-0.56,-0.58,-2.01,-1.57,-1.22,-0.78
3631 晟楠,0.05,0.04,0.14,-4.59,-1.52,-0.83,-0.41,0.65,0.72,0.36,0.22,1.61,1,0.56,0.47,1.83,1.31,1.03,0.7
3632 研勤,-2.15,-0.93,-0.29,1.57,1.34,0.29,0.05,-1.98,-2.05,-1.43,-0.2,0.42,0.68,0.8,0.45,0.81,0.5,0.37,0.21
3642 駿熠電,-2.21,-1.55,-0.9,-5.9,-5.7,-0.53,-0.23,0.77,0.54,-0.16,-0.27,-0.97,-0.25,0.27,0.31,0.65,0.32,0.42,0
3645 達邁,1.07,-0.05,-0.37,1.36,1.27,0.76,0.49,2.03,1.21,0.42,0.07,0.85,0.66,0.29,0.1,1.5,1.45,1.18,0.76
3646 艾恩特,0.87,0.52,0.07,0.12,0.25,-0.32,-0.18,-0.7,-0.3,-0.2,-0.2,0.52,0.61,0.21,0.18,-0.53,-0.7,-0.86,-0.5
3652 精聯,0.47,0.06,-0.16,0.73,0.2,0.17,0.15,0.72,0.54,0.37,0.08,0.47,0.12,-0.16,-0.45,0.15,-0.47,-0.55,-0.74
3653 健策,1.41,1.13,0.37,2.14,2.13,1.02,0.47,3.83,3.09,2.02,0.79,2.73,1.73,0.31,0.03,2.23,2.13,1.58,0.83
3661 世芯-KY,-4.22,-3.8,0.14,2.07,0.84,-0.63,-0.88,3.77,3.71,2.08,0.98,2.1,0.28,-1.4,-1.45,0.17,,0.19,
3662 樂陞,,0.32,0.1,3.83,2.51,1.56,0.31,3.55,0.23,-2.44,-1.52,1,-2.65,-0.91,-0.87,7.6,0.63,-4.71,-3.35
3663 鑫科,0.6,0.38,0.16,-2.6,-1.79,-0.66,-0.4,0.34,0.12,0.01,0.1,0.05,0.08,0.04,0.07,1.09,0.73,0.36,0.15
3664 安瑞-KY,-1.38,-1.07,-0.63,0.62,0.49,1.05,-1.41,0.17,-0.62,-0.3,-0.36,0.64,-0.81,-0.98,-1.18,-2.11,-2.02,-1.61,-1.04
3665 貿聯-KY,6.4,3.87,1.8,8.3,5.99,3.72,1.96,7.28,5.34,3.17,1.26,7.28,5.59,3.58,1.3,4.49,3.31,2.1,0.8
3666 光耀,0.2,0.38,0.33,0.46,-0.49,-0.78,-0.38,5.13,4.11,2.34,1.13,4.26,3.36,2.78,1.01,1.52,,0.11,
3669 圓展,1.12,0.47,0.04,-0.28,-0.19,-0.39,-0.39,0.22,0.53,0.4,0.04,-0.5,-0.13,-0.04,0.02,0.42,0.57,0.09,0.01
3672 康聯訊,1.73,1.12,0.56,3.22,2.72,1.74,1.04,3.66,2.95,2.37,1.38,2.03,,0.92,,0.36,,-0.2,
3673 TPK-KY,-5.13,-7.11,0.15,-57.86,-61.06,-4.79,-3.06,0.84,0.64,1.37,0.39,21.9,26.83,23.77,14.19,44.33,28.05,18.23,11.15
3675 德微,1.53,1.01,0.4,2.1,1.66,0.97,0.45,1.3,0.96,0.5,0.18,-0.48,-0.35,-0.24,-0.25,-0.97,-0.51,-0.18,0.01
3679 新至陞,5.24,3.03,1.08,4.28,2.44,0.69,0.08,3.67,2.53,1.45,0.72,3.5,2.38,0.94,0.48,5.1,3.7,2.66,1.06
3680 家登,-0.26,-0.32,-0.44,0.17,-0.26,-0.61,-0.37,0.51,0.37,0.22,0.19,0.32,-0.6,-0.74,-0.37,2.94,2.25,1.35,0.84
3682 亞太電,-0.85,-0.54,-0.2,-0.41,-0.52,-0.29,-0.08,-2.35,0.12,0.12,0.1,0.56,0.5,0.39,0.2,1,,0.64,
3684 榮昌,1.82,1.27,0.57,5.11,3.66,1.78,0.64,3.4,2.44,1.39,0.74,2.43,1.58,1.16,0.8,2.59,,1.28,
3685 元創精密,0.29,0.26,-0.02,-2.94,-0.33,0.46,0.24,-2.18,-2.74,-1.64,-0.52,1.11,1.1,0.45,0.19,0.25,0.19,-0.31,-0.22
3686 達能,-1.07,-0.41,-0.21,-1.73,-1.16,-0.84,-0.39,-1.55,-1.03,-0.61,-0.28,-2.41,-1.81,-1.28,-0.71,-3.73,-2.58,-1.6,-0.67
3687 歐買尬,-5.93,-2.95,-0.84,-3.61,-2.28,-1.27,-1.23,-12.7,-6.2,-4.4,-1.72,-4.22,-2.58,-0.7,0.32,6.33,6.43,5.17,1.63
3689 湧德,1.32,0.46,0.17,2.52,2.13,1.59,0.92,7.38,5.77,3.25,1.38,7.69,6.03,4.03,1.86,7.08,5.58,3.26,1.22
3691 碩禾,26.18,16.99,10.03,39.65,27.73,12.49,5.8,24.54,16.1,9.95,7.05,12.24,7.87,6.35,4.25,13.75,11.73,9.7,4.45
3693 營邦,1.6,0.5,0.25,8.87,7.59,4.24,2.9,9.53,6.96,4.34,2.78,8.4,6.42,4.34,2.17,4.43,,1.29,
3694 海華,0.48,0.13,0.11,0.3,-0.21,-0.82,-0.63,-4.33,-3.3,-3.48,-0.71,-1.99,-1.48,-0.98,-0.48,-0.99,-0.26,-0.11,-0.39
3698 隆達,-0.3,-0.24,-0.03,0.45,0.39,0.33,0.26,1.17,0.96,0.37,0.05,1.91,1.82,1.49,0.92,0.69,0.55,0.3,0
3701 大眾控,0.28,0.17,0.06,-1.03,-0.47,-0.37,0.04,-1.03,-0.7,-0.84,-0.69,-1.24,-0.93,-0.73,-0.45,-1.56,-0.49,-0.48,-0.14
3702 大聯大,2.99,1.88,0.94,3.27,2.52,1.55,0.84,3.51,2.7,1.76,0.84,2.87,2.27,1.46,0.63,2.72,2.15,1.31,0.58
3703 欣陸,-0.18,-0.45,-0.02,0.65,0.33,0.47,0.51,-1.11,1.23,0.92,-0.12,1.09,0.27,-0.09,-0.01,1.36,0.8,0.68,0.54
3704 合勤控,0.3,0.44,0.37,-1.35,-1.13,-1.34,-0.93,0.37,0.6,0.55,0.11,0.72,0.17,-0.24,-0.22,-0.06,-0.33,-0.37,-0.25
3705 永信,2.08,1.71,0.53,3.35,2.2,1.37,0.78,2.84,2.21,1.44,0.71,2.44,1.64,1.1,0.56,1.75,1.33,1.02,0.46
3706 神達,2,1.03,0.22,2.32,1.91,1.27,0.58,1.03,0.67,0.37,-0.05,0.78,0.1,,,,,,
3707 漢磊,-1.9,-1.19,-0.7,-3.39,-2.02,-1.1,-0.58,-0.79,,,,,,,,,,,
3708 上緯投控,0.03,,,,,,,,,,,,,,,,,,
4102 永日,-1.39,-0.71,-0.3,-0.65,-0.56,-0.7,-0.47,-1.57,-1.23,-1.09,-0.58,-1.58,-1.27,-0.25,-0.11,0.08,0.2,0.28,0.08
4103 百略,3.77,1.48,0.69,5.89,4.27,1.48,0.8,5.63,3.74,1.41,0.67,5.76,4.76,2.39,1.2,4.72,4.19,1.6,0.7
4104 佳醫,2.47,1.73,1.06,3.27,2.42,1.65,0.76,2.53,2.06,1.36,0.7,2.66,2.31,1.55,0.48,2.44,2.04,1.27,0.65
4105 東洋,3.41,2.56,1.13,4.87,2.11,1.13,0.4,3.14,0.69,0.32,0.21,2.52,2.41,2.44,2.39,2.53,1.9,1.87,0.76
4106 雃博,1.28,0.96,0.56,2.02,1.47,1.27,0.69,2.14,1.88,1.31,0.68,1.6,1.09,0.94,0.5,2.35,2.01,1.42,0.67
4107 邦特,3.94,2.77,1.32,4.07,3.11,1.73,0.84,3.43,2.47,1.59,0.74,2.71,2.07,1.33,0.62,2.12,1.47,0.91,0.47
4108 懷特,-0.84,-0.66,-0.34,-1.24,-1.01,-0.79,-0.43,-1.97,-1.38,-0.9,-0.21,-1.12,-0.39,-0.12,0.05,-0.76,-0.45,-0.39,-0.19
4109 穆拉德,0.07,0.15,0.13,0.51,0.3,0.21,0.15,0.29,0.19,0.11,0.06,0.37,0.08,-0.05,0.03,0.53,0.26,0.15,0.14
4111 濟生,0.82,0.45,0.16,0.68,0.66,0.35,0.12,1.33,1.28,0.8,0.4,1.83,1.18,0.65,0.21,1.41,1.16,0.84,0.46
4113 聯上,0.19,0.2,0.1,1.37,0.93,0.44,0.28,6.41,5.39,1.74,0.75,5.13,2.13,1.98,0.85,4.36,3.71,1.47,0.09
4114 健喬,1.26,1.4,1.35,0.25,0.33,0.24,0.19,0.95,0.84,0.63,0.35,0.65,0.39,0.25,0.1,1.07,0.98,0.82,1.16
4116 明基醫,0.72,0.52,0.23,3.06,3.32,3.11,0.33,2.06,1.46,0.79,0.23,1.13,,0.41,,0.77,,0.3,
4119 旭富,4.93,3.76,2.06,5.17,4.39,3.12,1.33,3.83,3.15,2.39,0.97,2.78,2.25,2.03,1.09,3.95,2.82,1.87,1.16
4120 友華,3.81,2.87,2,2.57,2.21,1.74,1.43,2.26,1.98,1.34,0.78,5.84,6.4,4.94,1.59,2.78,2.38,1.55,1.19
4121 優盛,-0.39,-0.3,-0.08,-0.38,-0.05,-0.2,-0.12,-0.04,-0.02,0.01,0.03,0.17,0.33,0.43,0.55,0.35,0.38,0.11,0.08
4123 晟德,0.33,-0.44,-0.23,1.82,-0.82,-0.87,-0.36,1.77,0.05,0.81,0.11,0.36,0.15,-0.24,-0.03,0.88,-0.1,-0.2,0
4126 太醫,4.13,2.94,1.57,5.32,3.59,1.74,1.03,4.95,3.35,2.16,1.29,4.88,3.84,2.76,1.4,4.75,3.57,2.29,1.25
4127 天良,-0.53,-0.1,0.1,1.07,1.12,0.99,0.65,1.34,1.01,0.67,0.37,1.07,0.96,0.75,0.28,0.81,0.67,0.69,0.26
4128 中天,-0.46,-0.38,-0.23,-0.46,-0.5,-0.35,-0.18,-0.33,-0.3,-0.25,-0.15,-0.35,-0.2,-0.11,0.01,-0.1,-0.06,0.1,0.35
4129 聯合,1.58,1.71,1.16,2.3,1.94,1.23,0.32,1.52,1.03,0.7,0.51,0.41,0.48,0.66,0.37,0.76,0.64,0.68,0.43
4130 健亞,0.37,0.29,0.24,0.46,0.43,0.27,0.2,0.75,0.74,0.49,0.24,0.47,0.45,0.31,0.13,0.63,0.64,0.18,0.09
4131 晶宇,-0.5,-0.31,-0.13,-0.45,-0.43,-0.31,-0.12,-0.57,-0.4,-0.25,-0.07,-0.93,-0.72,-0.28,-0.09,-0.66,-0.47,-0.35,-0.16
4133 亞諾法,0.62,0.48,0.25,0.77,0.59,0.44,0.01,1.1,0.71,0.44,0.23,1.22,1.01,0.75,0.42,1.29,1.02,0.71,0.46
4137 麗豐-KY,7.64,6.01,4.07,14.68,9.29,5.18,2.2,9.51,6.72,4.51,2.41,10.25,7.61,4.62,2.23,8.84,,,
4138 曜亞,3.06,2.1,1.08,4.05,3.15,2.08,0.87,4.02,2.8,2.06,0.81,1.56,0.73,0.58,0.34,4.26,4.44,3.7,2.16
4139 馬光-KY,-1.2,-0.93,-0.5,-1.7,-1.1,-0.75,-0.44,0.19,0.56,1.04,1.27,0.17,0.14,-1.18,0.25,1.61,1.22,1.31,0.56
4141 龍燈-KY,2.14,2.42,1.9,-1.38,-3.89,-1.9,-2.84,3.03,1.92,1.86,0.57,2.7,0.46,-1.05,-0.78,4.35,2.23,1.21,0.7
4142 國光生,-1.63,-1.08,-0.63,-3.24,-1.81,-1,-0.61,-3.04,-1.9,-0.73,-0.82,-3.25,-2.27,-1.68,-0.91,-3.4,-2.46,-1.7,-0.82
4144 康聯-KY,2.64,1.7,0.98,3.68,3.36,2.5,1.47,5.35,4.34,3.34,1.72,5.06,4.91,3.42,1.82,4.32,3.6,2.56,1.12
4147 中裕,-0.7,-0.51,-0.23,-2.16,-1.66,-0.8,-0.29,-1.32,-0.93,-0.58,-0.35,-1.3,,-0.44,,-1.07,,-0.39,
4152 台微體,-10.02,-5.75,-3,-12.25,-9.59,-6.22,-2.74,-11.54,-7.77,-4.78,-2.37,-8.22,-5.47,-0.98,-0.14,-4.75,-0.42,-1.04,
4153 鈺緯,0.07,0.49,-0.09,4.02,3.3,1.95,0.76,4.71,3.24,2.04,1.03,3.03,2.59,1.93,0.9,1.45,1.05,0.36,
4154 康樂-KY,1.42,-0.14,0.42,-1.13,-0.46,0.04,0.13,1.09,0.1,0.19,0.17,0.57,0.97,0.67,0.24,3.29,2.26,1.62,0.79
4157 太景*-KY,-0.27,-0.18,-0.13,-0.59,-0.42,-0.28,-0.12,-0.58,-0.42,-0.28,-0.09,-0.66,-0.42,-0.2,-0.07,-0.8,,,
4160 創源,-0.07,-0.15,0,-0.54,-0.14,-0.01,-0.16,-1.74,-0.39,-0.08,0.06,-1.38,-1.15,-0.74,-0.39,-0.82,0.06,0.18,0.08
4161 聿新科,0.03,0.06,-0.14,0.56,0.37,0.33,0.23,0.66,0.43,0.46,0.45,2.19,1.17,0.63,0.1,0.18,-0.29,-0.62,
4162 智擎,0.6,1.62,-0.42,3.87,4.18,3.84,-0.32,1.23,1.55,-0.37,-0.09,-1.26,-1.05,-0.3,-0.12,0.58,0.76,1.58,1.68
4163 鐿鈦,6.66,5,1.88,7.31,5.2,2.59,1.65,7.87,6.17,3.72,1.67,6.05,4.81,3.19,1.48,4.69,4.2,1.79,0.61
4164 承業醫,0.25,0.14,0.03,1.73,0.98,0.47,-0.31,2.04,1.22,0.94,0.28,2.42,1.78,0.77,0.04,3.9,2.54,1.38,
4167 展旺,-0.99,-0.73,-0.56,-2.62,-1.83,-1.23,-0.69,-2.12,-1.58,-0.78,-0.45,-1.48,-0.98,-0.75,,-3.35,,-1.81,
4168 醣聯,-0.83,-0.54,-0.19,-1.02,-0.7,-0.43,-0.22,-0.54,-0.45,-0.36,-0.16,-0.37,-0.62,-0.43,-0.2,0.26,-0.61,-0.36,
4171 瑞基,-0.52,-0.25,-0.19,-0.72,-0.43,-0.61,-0.4,-0.96,-0.76,-0.66,-0.44,-1.91,-1.35,-0.97,-0.56,-0.77,,-0.37,
4173 久裕,0.42,0.35,0.12,0.56,0.41,0.34,0.11,0.79,0.66,0.43,0.18,1.63,1.19,0.78,0.34,1.51,,0.7,
4174 浩鼎,-4.89,-2.73,-2.04,-5.66,-4.13,-3.38,-2.43,-4.46,-3.21,-2.2,-0.78,-3.11,-2.17,-1.46,,-1.95,,-0.83,
4175 杏一,3.03,2.14,1.12,4.83,3.63,2.47,1.37,4.04,2.82,1.91,1.17,4.71,3.63,2.4,1.32,1.65,,0.46,
4180 安成藥,-4.85,-3.02,-1.76,-2.99,-2.45,-1.93,-2.5,-8.05,-4.99,-3.91,-1.44,-5.03,-3.24,-3.3,-1.62,-6.26,,-2.56,
4188 安克,-0.94,-0.74,-0.37,-1.55,-1.16,-0.82,-0.53,-1.2,-0.82,-0.45,-0.21,-1.08,-0.62,-0.27,,-1.61,,-0.72,
4190 佐登-KY,3.22,2.05,1,6.45,4.96,3.25,1.35,5.18,3.69,2.07,0.77,2.41,5.35,,,7.48,,,
4192 杏國,-2.81,-1.91,-0.84,-3.12,-2.81,-1.59,-0.89,-4.39,-3.34,-1.96,-0.76,-2.23,,,,-3.02,,,
4198 環瑞醫,-2.78,-1.83,-0.98,-4,-2.98,-2.16,-1.26,-4.12,-3.16,-1.99,-0.82,-3.59,,-0.99,,-9.3,,,
4205 中華食,2.3,1.43,0.69,2.51,1.87,1.07,0.48,1.9,1.43,0.85,0.44,1.86,1.4,1.04,0.44,2.22,1.76,1.2,0.62
4207 環泰,0.59,0.33,0.06,0.06,-0.01,0.04,-0.02,0.37,0.51,0.31,0.12,1.47,1.39,0.64,0.41,1.53,1.22,0.67,0.66
4303 信立,0.19,0.11,0.07,0.78,0.67,0.31,0.04,0.99,0.82,0.5,0.17,0.48,0.31,0.15,-0.02,-0.11,0,-0.07,-0.04
4304 勝昱,-0.52,-0.17,0.09,-1.63,-0.93,-0.54,-0.26,-2.05,-1.65,-1.27,-0.7,-1.77,-1.27,-0.99,-0.54,-0.58,-0.73,-0.28,-0.2
4305 世坤,1.97,1.56,0.63,2.96,2.1,1.25,0.48,2.34,1.66,1.16,0.61,2.55,1.98,1.43,0.66,2.41,1.88,1.26,0.63
4306 炎洲,-0.01,0.08,0.15,0.73,0.61,0.43,-0.26,0.12,0.35,0.14,0.12,1.68,1.63,1.47,0.74,1.09,0.89,0.96,0.77
